visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize bar select hire_date , sum ( salary ) from employees where first_name like {value} or first_name like {value} order by sum ( salary ) desc bin hire_date by month
visualize bar select nationality , avg ( meter_100 ) from swimmer group by nationality
visualize pie select location_code , count ( * ) from document_locations group by location_code
visualize bar select t1 . name , count ( * ) from genres as t1 join tracks as t2 on t2 . genre_id = t1 . id group by t1 . id order by count ( * ) desc limit {value}
visualize bar select hire_date , avg ( manager_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by avg ( manager_id ) asc bin hire_date by weekday
visualize bar select document_date , count ( document_date ) from ref_document_types as t1 join documents as t2 on t1 . document_type_code = t2 . document_type_code bin document_date by weekday
visualize bar select sex , sum ( height ) from people group by sex order by sum ( height ) asc
visualize bar select hire_date , avg ( manager_id ) from employees where first_name like {value} or first_name like {value} order by avg ( manager_id ) asc bin hire_date by weekday
visualize bar select product_type_code , min ( product_price ) from products group by product_type_code order by min ( product_price ) desc
visualize bar select t1 . name , t1 . editor_id from editor as t1 join journal_committee as t2 on t1 . editor_id = t2 . editor_id order by t1 . name asc
visualize bar select t1 . firstname , t1 . supportrepid from customer as t1 join employee as t2 on t1 . supportrepid = t2 . employeeid
visualize bar select product_name , product_price from product_suppliers as t1 join products as t2 on t1 . product_id = t2 . product_id where t1 . supplier_id = {value}
visualize bar select language , count ( language ) from country as t1 join countrylanguage as t2 on t1 . code = t2 . countrycode where t1 . headofstate = {value} and t2 . isofficial = {value} group by language order by language desc
visualize bar select took_office , count ( took_office ) from party group by minister order by count ( took_office ) asc bin took_office by year
visualize line select payment_date , count ( payment_date ) from payment where amount > {value} union select t1 . payment_date from payment as t1 join staff as t2 on t1 . staff_id = t2 . staff_id where t2 . first_name = {value} group by payment_date order by payment_date asc
visualize bar select date_of_enrolment , count ( date_of_enrolment ) from student_course_enrolment as t1 join student_tests_taken as t2 on t1 . registration_id = t2 . registration_id where t2 . test_result = {value} order by count ( date_of_enrolment ) desc bin date_of_enrolment by weekday
visualize bar select roomname , count ( roomname ) from reservations as t1 join rooms as t2 on t1 . room = t2 . roomid where firstname like {value} group by roomname order by count ( roomname ) desc
visualize pie select cust_name , acc_bal from customer where cust_name like {value}
visualize bar select transcript_date , t1 . transcript_id from transcript_contents as t1 join transcripts as t2 on t1 . transcript_id = t2 . transcript_id order by transcript_date desc
visualize bar select state , enr from college as t1 join tryout as t2 on t1 . cname = t2 . cname where t2 . decision = {value} order by enr asc
visualize bar select job , min ( age ) from person group by job order by min ( age ) desc
visualize pie select t2 . name , count ( t2 . name ) from accelerator_compatible_browser as t1 join browser as t2 on t1 . browser_id = t2 . id join web_client_accelerator as t3 on t1 . accelerator_id = t3 . id group by t2 . name order by t1 . compatible_since_year desc
visualize line select calendar_date , day_number from ref_calendar order by calendar_date asc
visualize bar select t2 . customer_name , count ( t2 . customer_name ) from customer_address_history as t1 join customers as t2 on t1 . customer_id = t2 . customer_id join addresses as t3 on t1 . address_id = t3 . address_id group by t2 . customer_name order by count ( t2 . customer_name ) desc
visualize bar select comptroller , count ( comptroller ) from election as t1 join party as t2 on t1 . party = t2 . party_id where t1 . district = {value} or t1 . district = {value} group by comptroller order by comptroller asc
visualize bar select country , count ( country ) from mountain where height > {value} group by country order by country desc
visualize line select year , avg ( weight ) from cars_data group by year order by year desc
visualize bar select job_id , sum ( manager_id ) from employees where hire_date < {value} group by job_id order by job_id asc
visualize bar select hand , count ( * ) from players group by hand order by hand desc
visualize bar select team , count ( * ) from elimination group by team order by team asc
visualize bar select location_code , count ( * ) from document_locations group by location_code order by count ( * ) asc
visualize bar select date_of_latest_logon , count ( date_of_latest_logon ) from students where family_name = {value} or family_name = {value} order by count ( date_of_latest_logon ) desc bin date_of_latest_logon by weekday
visualize bar select job_id , sum ( employee_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} group by job_id order by job_id asc
visualize bar select type , count ( type ) from ship group by nationality , type order by count ( type ) desc
visualize bar select country_name , count ( * ) from country as t1 join match_season as t2 on t1 . country_id = t2 . country group by t1 . country_name
visualize bar select last_name , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
